output_all
say	how much	Neg	With the aw-shucks style of a Horatio Alger and the moxie of a Martha Stewart , he has managed to raise enough capital -- he wo n't say how much -- to rent offices and hire a staff of 12 .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 93575
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 96498
say	when or where	No	The study -- which drew an unprecedented consensus among scientists -- concluded a heightened seismic hazard exists in the Los Angeles Basin , predicting a temblor at least the size of the Northridge Earthquake once every 40 years , although no one can yet say when or where , the summary said .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 96886
say	why	No	And then you stop and say why ?	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 99675
explain	why	No	To explain why , he pointed to a home buyer who filed a complaint against the house 's previous owner concerning a faulty termite inspection .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 101524
know	how important	Neg	But she did n't know how important .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 102683
explain	why	No	To explain why , he pointed to a home buyer who filed a complaint against the house 's previous owner concerning a faulty termite inspection .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 104041
know	what else	Neg	There 's a lot of mosquitoes , and I do n't know what else .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 109813
know	why	No	`` If you see three liberal Democrats hanging from the Brooklyn Bridge , you 'll know why , '' a Democratic strategist joked .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 113809
wonder	why	No	One look at this mountain of a man leaves no reason to wonder why .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 115685
understand	why the Republicans	Neg	`` I do n't understand why the Republicans -- and I 'm a Republican , and this really hurts -- they 're fighting this . ''	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 123194
know	why	Neg	I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 128148
see	why	Neg	`` Because I do n't see why my taxes should keep someone in jail for forty-eleven years , '' said Athleen Sobers , 87 , who no longer dares venture out after dark .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 128189
see	why	Neg	`` Because I do n't see why my taxes should keep someone in jail for forty-eleven years , '' said Athleen Sobers , 87 , who no longer dares venture out after dark .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 128242
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 138871
explain	why	Neg	He thinks Sergeant 's downgrading came as a result of his misund Carlson acknowledges the stock 's movement has been highly unpredictable and he ca n't explain why .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 139418
know	how many times	Neg	`` I just kept looking at them , I do n't know how many times . ''	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 141734
forget	how	Neg	`` I did n't forget how , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 3768
see	why	No	Tagliabue said if that is the case , he could see why .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 8574
explain	why not	No	State regulators have ordered 20th Century Industries Inc. to begin paying $ 119 million in Proposition 103 rebates or explain why not by Nov. 14 .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 9134
find	why	No	Much to my dismay , however , my running had n't improved at all when I came home , so I decided to find out why .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 9703
know	why	No	Officials do not yet know why , he said .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 13899
know	what	Neg	`` I think something disturbed them , but I do n't know what .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 15815
discuss	why	Neg	Almost two years later , in December 1986 , the INS moved to deport Ms. Realegeno , though agency officials said they could not discuss why , again for privacy reasons .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 18708
guess	what	No	`` If we do have a lot of market share , guess what ? ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 19002
speculate	how much	No	Hume said the judge 's decision will have revenue and ratings ramifications for the television media but said there is no way to speculate how much .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 23978
speculate	how much	No	Hume said the judge 's decision will have revenue and ratings ramifications for the television media but said there is no way to speculate how much .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 24865
say	how much	Neg	Sony is betting serious money -- they wo n't say how much -- that the new technology will make 3-D an alluring proposition once again , and that putting the audience in the picture will get them out of their living rooms and away from 500-channel cable and videotapes .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 31457
know	why	Neg	In his campaigning through nearly a score of states , Simpson said in a telephone interview that he was astounded by the number of Americans who more or less told Republican candidates : `` I 've never voted for you but I am now ; I do n't know why , but I 'm tired of whatever it is I 'm tired of. ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 33428
say	from whom	Neg	He told her he had borrowed some $ 30,000 to finance the trip , but did not say from whom .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 33764
know	why	Neg	In his campaigning through nearly a score of states , Simpson said in a telephone interview that he was astounded by the number of Americans who more or less told Republican candidates : `` I 've never voted for you but I am now ; I do n't know why , but I 'm tired of whatever it is I 'm tired of. ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 33911
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 34554
say	how	No	But he declined to say how , and on what issues .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 35355
Palouse	what	No	Regarding Arizona defensive lineman Bruschi , an All-Pac-10 player : `` I believe it was Bruschi who said , ` Palouse what ?	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 40093
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 41482
know	how long	Neg	`` Certainly it has delayed it , but we do n't know how long , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 44796
understand	to what extent	Neg	I just do n't understand to what extent .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 52230
figure	why	Neg	`` I ca n't figure out why .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 52771
know	exactly what yet	Neg	`` I just do n't know exactly what yet . ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 57202
know	why	Neg	`` We were very concerned that the mortality pattern seemed to be so abrupt and sudden from women , but without research , '' she said , `` we did not know why . ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 57485
know	why	Neg	`` We were very concerned that the mortality pattern seemed to be so abrupt and sudden from women , but without research , '' she said , `` we did not know why . ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 57554
know	why	No	When a player who works as hard and cares as much about his teammates as ex-San Fernando star James Woods decides not to show up to practice , I want to know why .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 57964
know	how	Neg	`` I think something should be done in fairness , but I do n't know how .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 59281
know	why	Neg	`` We were very concerned that the mortality pattern seemed to be so abrupt and sudden from women , but without research , '' she said , `` we did not know why . ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 62213
say	where	No	A spokeswoman , Donna Parson , said the 47-year-old congressman was taking his traditional post-election vacation with his family ; she declined to say where .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 62515
explain	why	No	This might explain why :	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 63818
tell	where	No	They 're sold at ... I 'm not even going to tell you where ; you might go out and buy a pair .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 64685
know	why	Neg	`` I just do n't know why , '' Greer said of the White House freeze-out .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 69645
ask	Why	No	`` You have to ask yourself , Why ? ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 70526
guess	what	No	But guess what : it 's back .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 78145
guess	what	No	I just know he wants to say to his peers , ` I won three conference championships in a row , but guess what ?	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 79848
know	how	Neg	It 's a player who wants to win , but does n't know how and wo n't follow instruction .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 81600
know	how	Neg	`` Eighth Avenue is like the same jungle it was I do n't know how many years ago , '' said a businessman running for a late bus .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 86138
matter	what	Neg	`` Does n't matter what country . ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 90005
know	what	No	And do you know what ?	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 99528
know	how much	Neg	Brady said the new approach saves time , but she did n't know how much .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 100452
know	why	Neg	Mitchell added , `` We do n't know why , but it was probably because it was too dark . ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 106113
know	why	Neg	I do n't know why , but I 'm glad they do . ''	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 113480
explain	why	No	Besides , I was kind of crying behind my sunglasses , and I was n't sure I had time to explain why and still get to the part about the drink .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 116054
say	how much smaller	Neg	`` It was 1973 and my husband , Jimmy , and a friend of his were talking about how the women who might be suited to be police officers had to be 6 foot 2 inches tall , weigh 200 pounds and have deep voices , '' said the raspy-voiced Chief Harvard , who is considerably smaller -LRB- but would not say how much smaller -RRB- .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 116479
remember	why	Neg	I had n't written the speech , I ca n't remember why , and I 'd had a whole lot to drink .	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 120397
guess	what	No	We have 220 million people in America , and guess what ?	Treebanks/NYT-Parsed/nyt_eng_199411.tgrep2 120522
know	how good	Neg	I think we have a chance to be a good team , but I do n't know how good .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 351
show	how	No	We decided to let Cal , and Newt Gingrich , and Jesse Helms and Pat Robertson show us how .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 413
say	how much	No	They said this would save the government money , though they could not yet say how much , and they said it would make for a leaner bureaucracy , though they allowed that 1,500 people who were told Thursday that they would be dismissed could apply for their old jobs and that some might be hired back after some re-education .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 2753
understand	why	Neg	I do n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 6377
know	what	Neg	`` I want to be somewhat involved in the sport , in certain capacities but I do n't know what , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 7150
prove	how complicated	No	As if to prove how complicated , The Post 's GATT embarrassment did not arise from activities of the newspaper .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 14708
know	how much	Neg	Coach Tom Flores admitted that Frier 's injury affected the team , but Flores said he did n't know how much .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 16159
look	else where	No	If that 's what someone wants , they 'll have to look else where . ''	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 17641
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 31944
say	how much	No	`` It 's difficult to say how much , because liquidity is relatively low and trading is sporadic , '' said Ian MacKinnon , senior vice president of fixed-income for the Vanguard Group of mutual funds .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 35463
see	why	No	To see why , look at the Republican `` Contract With America . ''	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 36756
see	why	No	Herman was exaggerating -- and it is not hard to see why .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 38385
say	when	Neg	Haines said he attended Trinity University in San Antonio , Texas , taught at Texas Military Institute , in San Antonio , and worked for the federal government in Colorado , but he wo n't say when .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 38573
say	who	Neg	He claims to be in contact with 172 Capitol Hill lawmakers , but wo n't say who .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 38574
say	when	Neg	Haines said he attended Trinity University in San Antonio , Texas , taught at Texas Military Institute , in San Antonio , and worked for the federal government in Colorado , but he wo n't say when .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 38600
say	who	Neg	He claims to be in contact with 172 Capitol Hill lawmakers , but wo n't say who .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 38601
understand	why	No	It 's easy to understand why .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 42598
guess	what	No	`` So when the Republicans told her to vote against Willie , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 44445
guess	what	No	`` So when the Republicans told her to vote against Willie , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 44935
hear	of that	Neg	But the British and French wo n't hear of that ; they want to get their troops extricated and our ground troops intricated .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 45809
know	why	No	Now Suroff 's father and the group he formed , Concerned Americans for Responsible Driving , want to know why .	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 50849
work	what	No	I mean , work what ?	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 51344
understand	why	Neg	I do n't understand why . ''	Treebanks/NYT-Parsed/nyt_eng_199412.tgrep2 53051
